Country,Project,Expedition,Location,Date,KnollID,First Observer.x,Second Observer.x,meta_to_deployment_id,First Observer.y,Second Observer.y,Knoll,Time Start,Time End,Notes,Observer,Species,Amount,Length,Confidence
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Pterois miles,1,21,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Epinephelus fasciatus,1,35,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Apogon cyanosoma,40,4,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Coris aygula,1,7,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Coris aygula,1,5,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Pomacentrus trichrourus,1,3,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Pomacentrus trichrourus,5,2,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Pomacentrus trichrourus,1,6,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Pseudochromis fridmani,2,7,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Pomacentrus trilineatus,7,2,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Ecsenius gravieri,1,5,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Ecsenius gravieri,1,6,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Eviota guttata,1,2,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Sebastapistes cyanostigma,2,4,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,1,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 1,Hezi Buba,Noy Shapira,1,9:33,10:07,,second,Ostorhinchus nigrofasciatus,5,3,
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,19,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 19,Hezi Buba,Noy Shapira,19,10:10,10:24,,first,Abudefduf vaigiensis,8,14,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,19,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 19,Hezi Buba,Noy Shapira,19,10:10,10:24,,first,Cephalopholis hemistiktos,1,16,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,19,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 19,Hezi Buba,Noy Shapira,19,10:10,10:24,,first,Ctenochaetus striatus,1,17,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,19,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 19,Hezi Buba,Noy Shapira,19,10:10,10:24,,first,Ctenochaetus striatus,1,15,0
Israel,EcoCamp,EcoCamp June 2021,Princess,2021-06-23 00:00:00,19,Hezi Buba,Noy Shapira,Hezi Buba and Noy Shapira - 19,Hezi Buba,Noy Shapira,19,10:10,10:24,,first,Chaetodon paucifasciatus,2,14,0
