First Observer,Knoll,Notes,Second Observer,Time End,Time Start,column_to_join_by,Observer,Species,Amount,Length,Confidence,meta_to_site_identifier,Date,Location,Start,End,Country,Project,Reserve,KnollID,Lat(N),Lon(E)
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Pseudanthias squamipinnis,3,4,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Pseudanthias squamipinnis,3,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Pseudanthias squamipinnis,1,8,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Pseudochromis springeri,1,5,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Thalassoma rueppellii,2,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Thalassoma rueppellii,1,5,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Cephalopholis hemistiktos,1,18,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Ostracion cyanurus,1,14,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Epinephelus fasciatus,1,22,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Gymnothorax griseus,1,22,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Mai Lazarus,15,NA,Sarah Ohayon,NA,13:10,TRUE,second,Pomacentrus trichourus,1,3,0,Mai LazarusSarah Ohayon15,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,15,NA,NA
Hezi Buba,5,NA,Noy Shapira,14:05,13:56,TRUE,first,Chaetodon fasciatus,1,18,NA,Hezi BubaNoy Shapira5,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,5,NA,NA
Hezi Buba,5,NA,Noy Shapira,14:05,13:56,TRUE,first,Acanthurus nigrofuscus,1,16,NA,Hezi BubaNoy Shapira5,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,5,NA,NA
Hezi Buba,5,NA,Noy Shapira,14:05,13:56,TRUE,first,Zebrasoma xanthurum,1,17,NA,Hezi BubaNoy Shapira5,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,5,NA,NA
Hezi Buba,5,NA,Noy Shapira,14:05,13:56,TRUE,first,Scarus fuscopurpureus,1,30,NA,Hezi BubaNoy Shapira5,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,5,NA,NA
Hezi Buba,5,NA,Noy Shapira,14:05,13:56,TRUE,first,Fistularia commersonii,1,45,NA,Hezi BubaNoy Shapira5,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,5,NA,NA
Hezi Buba,5,NA,Noy Shapira,14:05,13:56,TRUE,second,Chaetodon fasciatus,1,20,0,Hezi BubaNoy Shapira5,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,5,NA,NA
Hezi Buba,5,NA,Noy Shapira,14:05,13:56,TRUE,second,Acanthurus nigrofuscus,1,17,1,Hezi BubaNoy Shapira5,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,5,NA,NA
Hezi Buba,5,NA,Noy Shapira,14:05,13:56,TRUE,second,Fistularia commersonii,1,40,0,Hezi BubaNoy Shapira5,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,5,NA,NA
Hezi Buba,6,NA,Noy Shapira,13:55,13:32,TRUE,first,Abudefduf vaigiensis,1,16,NA,Hezi BubaNoy Shapira6,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,6,NA,NA
Hezi Buba,6,NA,Noy Shapira,13:55,13:32,TRUE,first,Acanthurus nigrofuscus,1,18,NA,Hezi BubaNoy Shapira6,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,6,NA,NA
Hezi Buba,6,NA,Noy Shapira,13:55,13:32,TRUE,first,Acanthurus nigrofuscus,1,15,NA,Hezi BubaNoy Shapira6,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,6,NA,NA
Hezi Buba,6,NA,Noy Shapira,13:55,13:32,TRUE,first,Dascyllus trimaculatus,1,14,NA,Hezi BubaNoy Shapira6,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,6,NA,NA
Hezi Buba,6,NA,Noy Shapira,13:55,13:32,TRUE,first,Dascyllus trimaculatus,1,15,NA,Hezi BubaNoy Shapira6,2020-06-14T00:00:00Z,Caves,NA,NA,Israel,EcoCamp,NA,6,NA,NA
